"Name","Brand","Servings","Weight","Weight1","Calories","TotalFat","SatFat","Cholesterol","Sodium","Carbohydrate","Sugars","Fiber","Protein","VitaminA","VitaminC","Calcium","Iron"
"Snickers Peanut Butter","M&M/Mars",1.000000,2.000000,2.000000,310.000000,20.000000,7.000000,5.000000,150.000000,28.000000,23.000000,1.000000,6.000000,0.000000,0.000000,6.000000,2.000000
"Cookies 'n' Mint","Hershey",1.000000,1.550000,1.550000,230.000000,12.000000,6.000000,10.000000,80.000000,27.000000,21.000000,1.000000,4.000000,0.000000,0.000000,8.000000,4.000000
"Cadbury Dairy Milk","Hershey",3.500000,5.000000,1.42857142857143,220.000000,12.000000,8.000000,10.000000,45.000000,24.000000,21.000000,1.000000,3.000000,0.000000,0.000000,10.000000,2.000000
"Snickers","M&M/Mars",3.000000,3.700000,1.23333333333333,170.000000,8.000000,3.000000,5.000000,85.000000,21.000000,17.000000,1.000000,3.000000,0.000000,0.000000,2.000000,0.000000
"Sugar Daddy","Charms",1.000000,1.700000,1.700000,200.000000,2.500000,2.500000,2.000000,100.000000,43.000000,28.000000,0.000000,1.000000,0.000000,0.000000,4.000000,0.000000
"Twix Peanut Butter","M&M/Mars",1.000000,1.710000,1.710000,260.000000,16.000000,5.000000,5.000000,130.000000,26.000000,17.000000,2.000000,5.000000,0.000000,0.000000,2.000000,2.000000
"Twizzler","Hershey",1.000000,2.200000,2.200000,190.000000,1.500000,0.000000,0.000000,150.000000,42.000000,24.000000,0.000000,2.000000,0.000000,0.000000,0.000000,2.000000
"Toblerone","Tobler",1.000000,1.230000,1.230000,190.000000,11.000000,7.000000,5.000000,25.000000,21.000000,19.000000,0.000000,2.000000,0.000000,0.000000,6.000000,0.000000
"Crunch","Nestle",1.000000,1.550000,1.550000,230.000000,12.000000,7.000000,5.000000,60.000000,28.000000,23.000000,1.000000,3.000000,0.000000,0.000000,8.000000,0.000000
"Almond Joy","Hershey",2.000000,3.220000,1.610000,230.000000,13.000000,8.000000,2.000000,85.000000,25.000000,17.000000,3.000000,2.000000,0.000000,0.000000,2.000000,2.000000
"Elana Mint","Sherwood",1.000000,1.600000,1.600000,200.000000,10.000000,6.000000,15.000000,10.000000,29.000000,26.000000,2.000000,2.000000,0.000000,0.000000,2.000000,7.000000
"Krackel","Hershey",1.000000,2.600000,2.600000,390.000000,21.000000,13.000000,10.000000,110.000000,45.000000,35.000000,1.000000,5.000000,0.000000,0.000000,10.000000,2.000000
"M&Ms Peanut","M&M/Mars",1.000000,1.740000,1.740000,250.000000,13.000000,5.000000,5.000000,25.000000,30.000000,25.000000,2.000000,5.000000,0.000000,0.000000,4.000000,2.000000
"Bit-O-Honey","Bit-O-Honey",1.000000,1.700000,1.700000,200.000000,4.000000,2.500000,0.000000,105.000000,41.000000,20.000000,0.000000,1.000000,0.000000,0.000000,2.000000,2.000000
"100 Grand","Nestle",1.000000,1.500000,1.500000,200.000000,8.000000,5.000000,10.000000,75.000000,30.000000,27.000000,0.000000,2.000000,0.000000,0.000000,4.000000,0.000000
"Skor","Hershey",1.000000,1.400000,1.400000,220.000000,13.000000,9.000000,20.000000,110.000000,23.000000,21.000000,0.000000,2.000000,0.000000,0.000000,4.000000,0.000000
"Twix Caramel","Hershey",1.000000,2.000000,2.000000,280.000000,14.000000,5.000000,5.000000,115.000000,37.000000,27.000000,0.000000,3.000000,0.000000,0.000000,4.000000,2.000000
"Milky Way Lite","M&M/Mars",1.000000,1.570000,1.570000,160.000000,5.000000,3.500000,0.000000,100.000000,33.000000,23.000000,0.000000,2.000000,0.000000,0.000000,4.000000,0.000000
"Mars","M&M/Mars",1.000000,1.760000,1.760000,240.000000,13.000000,4.000000,5.000000,70.000000,31.000000,26.000000,1.000000,3.000000,0.000000,0.000000,6.000000,2.000000
"Peanut Nut Roll","Pearson",1.000000,2.500000,2.500000,340.000000,16.000000,3.000000,0.000000,210.000000,40.000000,29.000000,2.000000,9.000000,0.000000,0.000000,4.000000,2.000000
"Raisinet","Nestle",1.000000,1.580000,1.580000,200.000000,8.000000,4.000000,3.000000,15.000000,31.000000,28.000000,2.000000,2.000000,0.000000,0.000000,4.000000,2.000000
